"X = exercise
Y = 15
Z = 175/min

During a clinical study examining the effects of X, men between the ages of 20 and 30 years are evaluated during a Y-minute session on a treadmill. The average pulse for the last 2 minutes of the session is Z. During the last minute of X, various measurements are taken. Compared with the measurement before the session, which of the following is most likely to be decreased?",Pulse pressure,Stroke volume,Systolic blood pressure,Total peripheral resistance,D
"X = 22-year-old man
Y = gunshot wound to the abdomen
Z = left upper quadrant at the midclavicular line below the left costal margin

An X is brought to the emergency department 30 minutes after he sustained a Y. His pulse is 120/min, respirations are 28/min, and blood pressure is 70/40 mm Hg. Breath sounds are normal on the right and decreased on the left. Abdominal examination shows an entrance wound in the Z. There is an exit wound laterally in the left axillary line at the 4th rib. Intravenous fluid resuscitation is begun. Which of the following is the most appropriate next step in management?",CT scan of the chest,Intubation and mechanical ventilation,Peritoneal lavage,Left tube thoracostomy,D
"X = 31-year-old woman, gravida 3, para 2, who is at 32 weeks' gestation
Y = hypothyroidism
Z = intravenous catheter

Which of the following is the most likely cause of the findings in this X, admitted to the hospital because of a 1-week history of progressive dyspnea and wheezing, saying her heart is ""racing"" and coughing up a small amount of bloodstreaked sputum, with medical history significant for Y, for which she takes levothyroxine, after a Z is placed?",Chronic mitral regurgitation secondary to rheumatic heart disease,Coarctation of the aorta,Congenital aortic stenosis,Mitral stenosis complicated by atrial fibrillation,D
"X = 47-year-old man
Y = occipital headache and stiff neck
Z = hypertension and gastroesophageal reflux disease

An X comes to the physician 12 hours after the sudden onset of a severe Y. He has not had any other symptoms and has no history of severe headache. He has Z. Current medications include hydrochlorothiazide and ranitidine. He is oriented to person, place, and time. His temperature is 36.7°C (98.1°F), pulse is 100/min, and blood pressure is 160/90 mm Hg. Range of motion of the neck is decreased due to pain. Neurologic examination shows no focal findings. Which of the following is the most likely diagnosis?",Cluster headache,Meningitis,Migraine,Subarachnoid hemorrhage,D
"X = Marfan syndrome
Y = single nucleotide change
Z = FBN1

A 10-year-old girl is brought to the office by her mother because her school nurse thinks that she may have X. She is at the 95th percentile for height and 25th percentile for weight. Physical examination shows a narrow palate with dental crowding, long slender extremities, and joint laxity. Molecular testing for Z shows a Y that does not change the amino acid at that locus. Her mother is 163 cm (5 ft 4 in) tall. There is no clinical evidence of X in the mother, but she has the same Y as the patient. The same Y is found in 15 of 200 individuals without X. Which of the following best describes the Y in the patient and her mother?",It is a disease-causing mutation in the patient and her mother,It is a polymorphism,It is a sequence variant of unknown significance,It will change the folding of the protein,B
"X = 50-year-old woman
Y = recurrent abdominal pain
Z = varying physical symptoms

An X comes to the office for the first time because of Y. Review of her extensive medical chart, which she has brought with her, discloses that she has a long history of Z. Definitive causes for these symptoms have not been found despite extensive diagnostic studies, consultations with many physicians, and several surgical explorations. She gives dramatic and exaggerated descriptions of her present and past symptoms, and she makes conflicting statements about her history. She has been hospitalized at least 23 times since age 18 years. Which of the following is the most likely diagnosis?",Conversion disorder,Histrionic personality disorder,Occult medical disorder,Somatic symptom disorder,D
"X = 5
Y = 19
Z = 3

A X-year-old boy returns to the office with his Y-year-old mother to discuss results of studies done to evaluate his behavior of eating dirt. The patient sits quietly while his mother answers questions about his health. She says her son seems healthy, although he does not seem to be as active as other children his age. He has said his head hurts three or four times during the past 2 weeks. He has not had fever, sweats, or chills. She says he has a good appetite but has had a habit of eating sand and dirt since age Z years. She says, ""I don't know where he gets that habit. I used to eat dirt, but I stopped years ago. I try to stop him from eating dirt, but I'm not around much since I work two jobs."" The patient takes no medications. Vaccinations are upto-date. Height",Prescribe fluoxetine,Prescribe methylphenidate,Prescribe risperidone,Refer the patient to a child psychiatrist,D
"X = 32-year-old man
Y = 29-year-old wife

An X and his Y come to the office for evaluation for infertility. The Y's gynecologist has reported that her anatomic and physiologic evaluation disclosed no abnormalities and that assessment of potential male factors is needed. The X is 188 cm (6 ft 3 in) tall with fair skin and little facial hair. He has mild gynecomastia and small, firm testicles. No sperm are seen on semen analysis. Which of the following tests is most likely to establish the underlying cause of this couple's infertility?",Karyotype from peripheral leukocytes,Serum estrogen and testosterone concentrations,Serum follicle-stimulating hormone and luteinizing hormone concentrations,Serum prolactin concentration,A
"X = nicotine patch
Y = bupropion

A 28-year-old man comes to the office because he would like to quit smoking cigarettes. He says, ""I cannot go more than a day without cigarettes because I get so anxious and irritable. I even wake up at night to smoke."" The patient began smoking cigarettes at age 12 years; he was smoking two packs of cigarettes daily by age 17 years, and he has not curtailed his use since that time. He does not drink alcoholic beverages or use illicit drugs. Medical history is remarkable for childhood febrile seizures. He takes no medications. Vital signs are normal. The patient is interested in using X and Y therapy because he says his friend found the treatments to be helpful. In combining these two therapies, this patient is at greatest risk for which of the following?",Hypertension,Polyuria,Renal insufficiency,The patient is at no increased risk,D
"X = odynophagia and gastroesophageal reflux
Y = hematemesis
Z = AIDS

A 40-year-old male presents to the office with symptoms of X. He also says that he experienced Y once last week. Past medical history reveals Z, and his most recent CD4 count was 30 cells/mcL. The patient's tilt test result and hemoglobin level are normal. Rectal examination demonstrates brown stool that is positive for occult blood. What is the most appropriate initial step in this patient's management?",prescription for a proton pump inhibitor and a prokinetic agent,prescription for an H2-blocker trial for 6 weeks,prescription for clotrimazole troches,referral for an upper endoscopy with biopsy,D
"X = 55-year-old man
Y = 165/95 mm Hg

An X comes to the physician for a routine physical examination. He is currently taking no medications. His pulse is 80/min, and blood pressure is Y. Physical examination shows no other abnormalities. The presence of which of the following mechanisms is most likely to increase this patient's blood pressure further?",Decreased cardiac output,Decreased pulse,Decreased stroke volume,Increased peripheral vascular resistance,D
"X = stereotactic brain operation
Y = conscious sedation

A 54-year-old man comes to the physician for a follow-up examination 10 days after undergoing X to remove a small tumor. The operation was successful. During the procedure, he was under Y. The patient recalls that at one point during the operation he experienced a sudden, intense feeling of overwhelming fear. Which of the following areas of the brain was most likely stimulated at that time?",Amygdala,Hippocampus,Mammillary body,Prefrontal cortex,A
"X = Staphylococcus aureus
Y = Serratia marcescens

A 5-year-old boy is brought to the physician because of a 2-day history of fever and painful swelling of the left ankle. He has had recurrent cervical lymphadenitis and pneumonia since infancy. Two years ago, a culture from an abscess in the cervical region grew X. His temperature is 38°C (100.4°F). Examination shows a tender, erythematous, edematous left ankle; there is point tenderness over the medial malleolus. A bone scan shows increased uptake in the left lower tibial metaphysis. Culture of bone aspirate grows Y. Nitroblue tetrazolium test shows no color change. Which of the following is the most likely mechanism for these findings?",Developmental arrest of maturation of B lymphocytes,Dysmorphogenesis of the third and fourth pharyngeal pouches,Impaired chemotaxis,Impaired phagocytic oxidative metabolism,D
"X = placebo
Y = 0.01
Z = 0.05

A X-controlled clinical trial is conducted to assess whether a new antihypertensive drug is more effective than standard therapy. A total of 5000 patients with essential hypertension are enrolled and randomly assigned to one of two groups: 2500 patients receive the new drug and 2500 patients receive X. If the alpha is set at Y instead of Z, which of the following is the most likely result?",Significant findings can be reported with greater confidence,The study will have more power,There is a decreased likelihood of a Type II error,There is an increased likelihood of statistically significant findings,A
"X = fever, severe muscle pain, and diffuse, painful swelling of his neck, underarms, and groin area
Y = generalized scattered black maculae
Z = an erythematous, solid, tender mass on the underside of the upper extremity just above the elbow; the mass is draining blood and necrotic material

A 25-year-old man is brought to the emergency department because of a 6-day history of X. The symptoms began after returning from a camping trip in New Mexico. He appears ill and lethargic and can barely answer questions. His temperature is 39.2°C (102.5°F), pulse is 120/min, respirations are 22/min, and blood pressure is 110/70 mm Hg. Physical examination shows Y. Examination of the right upper extremity shows Z. The most effective antibiotic for this patient's disorder",DNA helicase,Glucuronosyltransferase,Proteasomal degradation,Ribosomal assembly,D
"X = HIV infection
Y = erythromycin
Z = penicillin

A 26-year-old woman with X comes to the office because of a 4-day history of pain and redness of her left lower leg. She says the symptoms began after she tripped over a tree branch in her yard and scraped her left leg. Current medications include antiretroviral therapy and ibuprofen as needed. Vital signs are temperature 38.3°C (100.9°F), pulse 86/min, respirations 14/min, and blood pressure 138/70 mm Hg. There is a 5×8-cm area on the anterior surface of her left lower extremity that is swollen, erythematous, and tender. She previously has developed a rash after taking Y, and she has had an anaphylactic response to Z. Which of the following antibiotic",Amoxicillin,Ciprofloxacin,Clarithromycin,Clindamycin,D
"X = dizziness
Y = right ear

A 35-year-old woman comes to the physician because of two 12-hour episodes of X over the past 3 months. During episodes, she experiences the acute onset of rotatory vertigo and imbalance, decreased hearing, tinnitus, a sense of fullness of the Y, and vomiting. Examination shows a mild hearing loss of the Y. Which of the following is the most likely diagnosis?",Acoustic neuroma,Benign positional vertigo,Brain stem transient ischemic attacks,Meniere's disease,D
"X = sore throat and fever
Y = change in her voice and has had increased pain with swallowing
Z = erythema, edema, and anterior displacement of the right side of the soft palate

A 22-year-old woman comes to the emergency department because of a 5-day history of X. During the past 3 days, she also has noticed Y. She has been taking acetaminophen since her symptoms began. Medical history is unremarkable and she takes no routine medications. Vital signs are temperature 40.0°C (104.0°F), pulse 130/min, respirations 18/min, and blood pressure 102/66 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 97%. Examination of the oropharynx shows Z. The uvula is deviated to the left. There is a white exudate",Incision and drainage,Intravenous methylprednisolone therapy,Oral nystatin therapy,Salt water gargle,A
"X = 45-year-old female
Y = blood pressure
Z = left adrenal mass

An X presents to the office for evaluation of unexplained elevations of her Y. Paroxysmal episodes of headache, sweating, anxiety, nausea, and vomiting occur frequently. A CT scan reveals a Z. Which of the following urinary assays will be most helpful in establishing this patient's diagnosis?",cortisol,glucose,sodium,vanillylmandelic acid,D
"X = 24-year-old man
Y = motor vehicle collision
Z = right

Which of the following locations is most likely affected by a fracture, causing X to have absent sensation to pinprick over the Z side of the face anterior to the Z ear, extending down along the full extent of the mandible to the chin, as well as absent sensation over the Z side of the tongue, after being involved in Y as an unrestrained driver?",Foramen lacerum,Foramen ovale,Foramen rotundum,Foramen spinosum,B
"X = 3-week-old male infant
Y = white lesions in the mouth
Z = white patches on the tongue and buccal mucosa

An X is brought to the office by his mother because of a 2-day history of Y. The infant was born at term via uncomplicated spontaneous vaginal delivery; he has been breast-feeding well and is urinating and having bowel movements normally. At birth, he weighed 3289 g (7 lb 4 oz; 30th percentile). Today, he weighs 3629 kg (8 lb; 25th percentile). He appears adequately hydrated. Vital signs are normal. Physical examination discloses Z that do not come off when gently scraped with a tongue blade. Which of the following is the most appropriate pharmacotherapy?",Acyclovir,Fluconazole,Nystatin,Valacyclovir,C
"X = right shoulder pain
Y = externally rotate the shoulder against resistance

A 45-year-old man comes to the physician because of X that began after he chopped wood 2 days ago. Examination of the right upper extremity shows no obvious bone deformities or point tenderness. The pain is reproduced when the patient is asked to Y; there is no weakness. In addition to the teres minor, inflammation of which of the following tendons is most likely in this patient?",Infraspinatus,Pectoralis,Subscapularis,Supraspinatus,A
"X = 67-year-old woman
Y = lung cancer
Z = thiazide diuretic

An X comes to the physician because of easy bruising for 4 months. She has a history of Y treated with radiation therapy 6 months ago. She has a 2-year history of hypertension treated with a Z and an angiotensin-converting enzyme (ACE) inhibitor. Examination, including neurologic examination, shows no abnormalities except for multiple ecchymoses. Her hemoglobin concentration is 13 g/dL, leukocyte count is 5000/mm3 , and platelet count is 35,000/mm3 . A serum antiplatelet antibody assay is negative. Which of the following is the most appropriate next step in diagnosis?",CT scan of the abdomen,CT scan of the chest,Bronchoscopy,Bone marrow aspiration,D
"X = 16-year-old girl
Y = meningococcal meningitis
Z = soccer teammate

An X is brought to the office by her mother because she is concerned that she may have contracted Y from her Z, who was diagnosed with Y and admitted to the hospital yesterday. The patient's soccer team traveled to a neighboring state to participate in a tournament 1 week ago and she shared a hotel room with the girl who was hospitalized. The patient feels well but is concerned she may have ""caught the same bug."" Medical history is remarkable for asthma. Medications include inhaled albuterol. Vital signs are temperature 37.2°C (98.9°F), pulse 64/min, respirations 16/min, and blood pressure 107/58 mm Hg. Physical examination shows no abnormalities. Which of the following is the most appropriate intervention for this patient at this time?",Administer the meningococcal vaccine,Prescribe doxycycline,Prescribe penicillin,Prescribe rifampin,D
"X = intravenous drug use
Y = systolic heart murmur

A 19-year-old woman comes to the emergency department because, she says, ""I'm burning up."" Medical history is significant for X. Physical examination discloses Y over the precordium. An expected physical finding will be which of the following?",Decreased intensity of S1,Increased intensity of the murmur with deep inspiration,Increased intensity of the murmur with forced expiration,Positive Kussmaul sign (rise in jugular venous pulse with inspiration),B
"X = albuterol inhaler
Y = 26-year-old male police officer
Z = annual health maintenance examination

A Y comes to the office for a Z. He is physically active and feels well, but he notes that his asthma has been more active during the past month. He says that he has had to use his X one to two times daily for wheezing and chest tightness. He has not had gastroesophageal reflux symptoms, productive cough, or fever. Medical history is remarkable for atopic allergies, especially to pollen and cats. He has had coldand exercise-induced asthma for the past 14 years. He takes no other medications. He is 188 cm (6 ft 2 in) tall and weighs 90 kg (200 lb); BMI is 25 kg/m2 . Vital signs are temperature 37.0",Chest x-ray,Fexofenadine therapy,Increased use of the albuterol inhaler,Initiation of a daily corticosteroid inhaler,D
"X = 15-year-old boy
Y = August
Z = full-contact football practice in full uniform

A previously healthy X is brought to the emergency department in Y 1 hour after the onset of headache, dizziness, nausea, and one episode of vomiting. His symptoms began during the first hour of Z. He reported feeling weak and faint but did not lose consciousness. He vomited once after drinking water. On arrival, he is diaphoretic. He is not oriented to person, place, or time. His temperature is 39.5°C (103.1°F), pulse is 120/min, respirations are 40/min, and blood pressure is 90/65 mm Hg. Examination, including neurologic examination, shows no other abnormalities. Which of the following is the most appropriate next step in management?",Obtain a CT scan of the head,Administer sodium chloride tablets,Administer intravenous fluids,Immerse the patient in an ice water bath,C
"X = killed vaccine
Y = live vaccine

Which of the following properties of X relative to Y is the most appropriate rationale for developing X for this illness?",Avoids the concern for reversion to virulence,Develops more rapid protective immunity,Is less likely to require subsequent boosters for lifelong immunity,Is most likely to generate mucosal immunity,A
"X = 43-year-old man
Y = right thigh
Z = greenish fluid

An X with a history of self-mutilation comes to the emergency department because of pain in his Y and shaking chills during the past 3 days. He says he intentionally burned his Y several times with a cigarette lighter 6 days ago. This morning he soaked his Y in a tub of hot water and massaged it, after which a large amount of ""Z"" drained from the wound sites. The patient normally takes lithium carbonate but stopped 3 months ago after he lost his job. Medical history is otherwise unremarkable. Vital signs are temperature 39.2°C (102.5°F), pulse 170/min, respirations 18/min, and blood pressure 120/60 mm Hg. Physical examination shows an edematous right lateral Y with multiple burn sites with",Incision and drainage,Psychiatric consultation,Topical silver sulfadiazine,Transfer to a burn center,A
"X = 32-year-old man
Y = 2 months
Z = automobile mechanic

A X comes to the physician because he has had difficulty focusing on tasks at work and at home during the past Y. He works as an Z. He has had a lot of energy for work but often is distracted to the point that he does not complete assigned tasks. He frequently stops working on his own tasks to attempt to develop greater efficiency in his shop. He states that he is delighted with his newfound energy and reports that he now needs only 4 hours of sleep nightly. He has no history of psychiatric illness. He always performed well in school. He has a history of drinking alcohol excessively and using methamphetamines and cocaine during his 20s, but he has not consumed alcohol or used illicit drugs for the past 3 years. His temperature is 37°C (98.6°F), pulse is ",Antisocial personality disorder,Attention-deficit/hyperactivity disorder,Bipolar disorder,Borderline personality disorder,C
"X = 72-year-old woman
Y = shortness of breath
Z = 2+ pitting edema

An X comes to the physician because of a 2-month history of painless swelling of both ankles. She also reports Y with exertion and when lying down. She has been awakened from sleep by Y. She has not had chest pain. Her pulse is 96/min and regular, respirations are 24/min, and blood pressure is 128/76 mm Hg. Jugular venous pressure is 15 cm H2O. Pulmonary examination shows crackles at both lung bases. Cardiac examination shows a regular rhythm and a soft S3. A grade 3/6 holosystolic murmur is heard best at the apex, radiating to the axilla. There is Z of the lower legs and ankles. Which of the following is most",Measurement of serum troponin I concentration,ECG,Exercise stress test,Echocardiography,D
"X = 32-year-old man
Y = pain and swelling of his right arm for 3 days

An X who is a jackhammer operator comes to the physician because of Y. The symptoms are moderately exacerbated by exertion. Examination of the right upper extremity shows erythema and moderate edema. Capillary refill time is less than 3 seconds. Which of the following is the most likely diagnosis?",Axillary-subclavian venous thrombosis,Deep venous valvular insufficiency,Superficial thrombophlebitis of the basilic vein,Superior vena cava syndrome,A
"X = 63-year-old woman
Y = left hemicolectomy
Z = colon carcinoma

A X is in the hospital recovery room 4 hours after elective Y for Z at the splenic flexure. She has a preoperative written directive for no blood products through transfusion for religious reasons. Medical history is significant for hypertension and coronary artery disease. The nurse tells you the patient's blood pressure has progressively declined since the operation. Vital signs now are temperature 35.8°C (96.4°F), pulse 130/min, respirations 20/min, and blood pressure 80/50 mm Hg. Physical examination discloses a slightly distended abdomen with an intact incision. ECG shows sinus tachycardia. Urine output has been 10 mL during the past 2 hours. Hematoc",Epigastric artery,Liver,Middle colic artery,Spleen,D
"X = CFTR gene
Y = G551D

A 30-year-old woman comes to the physician because of a 2-day history of abdominal pain. She has a history of recurrent upper respiratory tract infections, sinusitis, and pancreatitis. She has thick nasal secretions. She says that her sweat is salty and crystallizes on her skin. Her vital signs are within normal limits. Physical examination shows epigastric tenderness. Genetic testing for the 36 most common mutations shows a detectable mutation (Y) in one allele of the X. Which of the following best explains this patient's clinical phenotype?",Only one G551D allele is needed in CFTR,The patient is a CFTR obligate carrier,The patient's CFTR mutation is unrelated to her clinical phenotype,The second CFTR mutation was not detected by the testing obtained,D
"X = 27-year-old man
Y = 10 hours
Z = 39.1°C (102.3°F)

An X is brought to the emergency department by his sister because of increasing confusion for Y. He is unable to answer questions. His sister states that he recently saw a psychiatrist for the first time because of hearing voices; he was prescribed a medication, but she is not sure what it is. She says that he has a history of excessive drinking, and she thinks that he has also experimented with illicit drugs. He appears acutely ill. His temperature is Z, pulse is 124/min, and blood pressure is 160/102 mm Hg. Examination shows profuse diaphoresis and muscle rigidity. His neck is supple. The abdomen is soft and nontender. Mental status examination shows psychomotor agitation alternating with lethargy. His leukoc",Amphetamine intoxication,Bacterial meningitis,Delirium tremens,Neuroleptic malignant syndrome,D
"X = left side of his chest
Y = left lung

A 16-year-old boy is admitted to the emergency department because of a knife wound to the X. An x-ray of the chest shows an air-fluid level in the X, partial collapse of the Y, and elevation of the stomach bubble. The mediastinum is in the midline. Which of the following is the most likely diagnosis?","Hemopneumothorax, not under tension","Hemothorax, not under tension","Pneumothorax, not under tension",Tension hemopneumothorax,A
"X = 72-year-old man
Y = intensive care unit
Z = ventricular ectopy

A X is admitted to the Y for pain management and observation of Z 4 hours after undergoing uncomplicated left total knee replacement. He is receiving fentanyl via systemic patient-controlled analgesic pump for pain management. Medical history is remarkable for coronary artery disease, for which he takes atorvastatin, furosemide, carvedilol, lisinopril, and 81-mg aspirin. Baseline echocardiogram showed an ejection fraction of 0.20. Vital signs now are temperature 38.0°C (100.4°F), pulse 90/min, respirations 16/min, and blood pressure 130/90 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 96%. Physical",Continuous application of bilateral lower extremity pneumatic compression devices,Continuous intravenous infusion of heparin titrated to a PTT of 1.5 to 2.0 times the control value,Oral warfarin,Subcutaneous enoxaparin,D
"X = fatigue, dry skin, brittle hair, swelling of the ankles, and cold intolerance
Y = 9 kg (20 lb)
Z = 55/min

A 67-year-old woman has had X for 1 year; she has gained Y during this period. Her pulse is Z, and blood pressure is 150/90 mm Hg. She appears lethargic. Examination shows dry skin and a nontender thyroid gland that is enlarged to two times its normal size. There is mild edema of the ankles bilaterally. The relaxation phase of the Achilles reflex is greatly prolonged. Which of the following is the most likely diagnosis?",Chronic lymphocytic thyroiditis (Hashimoto disease),Defect in thyroxine (T4) biosynthesis,Graves disease,Multinodular goiter,A
"X = chromosome analysis
Y = unbalanced chromosome translocation
Z = translocation carrier

A 2-year-old boy is brought to the office by his mother for follow-up of an X done 1 month ago. The child has minor dysmorphic features, and growth and developmental delay. X showed a small Y, with extra chromosomal material at the tip of chromosome 3. The cytogenetics laboratory requested blood samples from both parents for follow-up studies. The parents are divorced, and the mother has custody of the child. The relationship between the parents is hostile. The mother has been tested and has normal chromosomes without evidence of translocation. At today's visit, she reacts angrily when the issue of contacting the child's father for testing is raised. She states that he abandoned them and that he has no interest in his child. She refuses to cooperate in contacting the father, who could be a Z.",Attempt to identify the father's physician and work with that physician to obtain chromosome studies on the father,Contact the father by telephone and arrange for him to give a blood sample at a local hospital,"Document your attempts to work with the mother but proceed no further, since you have no physician-patient relationship with the father",Help the mother deal with her anger and educate her regarding the potential benefit to her son and others if the father's chromosome studies are done,D
"X = left ear
Y = 38.5°C (101.3°F)
Z = left tympanic membrane

A 3-year-old girl is brought to the physician because of fever and X pain for 3 days. She has been treated with amoxicillin for the past 5 days for X otitis media. Her temperature is Y, pulse is 100/min, respirations are 20/min, and blood pressure is 80/60 mm Hg. Examination shows the X displaced forward and laterally from the head. There is edema and tenderness behind the X. Otoscopic examination shows a red, dull, Z that does not move. Which of the following is the most likely diagnosis?",Acoustic neuroma,Labyrinthitis,Lateral sinus thrombosis,Mastoiditis,D
"X = bisphosphonate drug
Y = bone mineral density

A 62-year-old woman comes to the physician because of low back pain for 1 week. Menopause occurred 10 years ago. Physical examination shows localized tenderness over the lumbar spine after movement. X-rays of the spine show a compression fracture of L1-2. A DEXA scan shows decreased Y. Serum calcium and phosphorus concentrations and serum alkaline phosphatase activity are within the reference ranges. An X is prescribed. The expected beneficial effect of this drug is most likely due to which of the following actions?",Decreased insulin-like growth factor-1 concentration,Decreased osteoclast activity,Decreased osteoprotegerin production,"Increased 1,25-dihydroxycholecalciferol concentration",B
"X = 72-year-old woman
Y = 20 cigarettes daily for the past 38 years
Z = eyedrops for glaucoma

An X who has smoked Y begins using Z. Three days later, she has a marked increase in shortness of breath while walking up a flight of stairs. Which of the following drugs is the most likely cause of the development of shortness of breath in this patient?",Apraclonidine,Epinephrine,Latanoprost,Timolol,D
"X = Down syndrome and severe mental retardation
Y = 38.3°C (100.9°F)
Z = 18,000/mm3 with 23% band neutrophils

A X 38-year-old man is brought to the emergency department by ambulance because of increasing lethargy for the past several hours. The patient is noncommunicative and you are unable to obtain an initial history of his present illness or a past medical history. You do not know if he takes any medications. Vital signs are temperature Y, pulse 90/min, respirations 19/min, and blood pressure 120/60 mm Hg. On physical examination the patient is awake but lethargic. Auscultation of the chest discloses clear lungs; cardiac examination discloses a systolic click. Neurologic examination shows decreased muscle tone. Serum electrolyte",Administer intravenous antibiotics,Await contact with the caregiver before proceeding with management,Obtain CT scan of the head,Obtain echocardiography,A
"X = a 42-year-old woman
Y = small bowel
Z = left femur

After being severely beaten and sustaining a gunshot wound to the abdomen, X undergoes resection of a perforated Y. During the operation, plastic reconstruction of facial fractures, and open reduction and internal fixation of the Z are also done. Thirty-six hours postoperatively, she is awake but not completely alert. She is receiving intravenous morphine via a patient-controlled pump. She says that she needs the morphine to treat her pain, but she is worried that she is becoming addicted. She has no history of substance use disorder. She drinks one to two glasses of wine weekly. Which of the following initial actions by the physician is most appropriate?",Reassure the patient that her chance of becoming addicted to narcotics is minuscule,"Maintain the morphine, but periodically administer intravenous naloxone",Switch the patient to oral acetaminophen as soon as she can take medication orally,Switch the patient to intramuscular lorazepam,A
"X = cramping in his hands and feet and numbness and tingling around his lips and in his fingers
Y = bulky, foul-smelling stools that do not flush easily
Z = 6.5 mg/dL

A 57-year-old man comes to the emergency department because of X; these symptoms occurred intermittently for 6 months but have been progressively severe during the past 2 weeks. He also has had a 13-kg (30-lb) weight loss and Y. He has a 10-year history of drinking 8 to 10 beers daily. He has been hospitalized twice for severe abdominal pain 4 and 6 years ago. His pulse is 80/min, and blood pressure is 105/65 mm Hg. He appears cachectic and chronically ill. The abdomen is nontender. Deep tendon",Hypomagnesemia,Hypoparathyroidism,Osteomalacia,Vitamin D deficiency,D
"X = 78-year-old woman
Y = left knee joint
Z = degenerative joint disease

An X is admitted to the hospital for replacement of her Y due to Z. She has type 2 diabetes mellitus, a long history of hypertension, and chronic renal failure presumed secondary to diabetes mellitus and hypertension. Reversible causes of renal failure have been excluded. She underwent a tonsillectomy at age 9 years and a laparoscopic cholecystectomy at age 68 years. Serum creatinine concentration on admission was 6.0 mg/dL. Her current therapy includes a low-sodium, low-protein American Diabetes Association (ADA) diet, enalapril, and acetaminophen. She is a retired seamstress. She and her husband live on a farm 90 miles from the nearest dialysis facility. In",Her eligibility to receive Medicare,Her history of an abdominal operation,Her history of arthritis,Her suitability for home dialysis,D
"X = 75-year-old female
Y = 25.0 × 103/mcL (reference range 4.5-11.0 × 103/mcL)
Z = B-cell origin

An X presents to the office for a health maintenance examination. She says that she is more fatigued than she was at 65, but she still gardens and drives to the grocery store. Routine laboratory studies reveal a leukocyte count of Y and 97% mature-appearing lymphocytes on a peripheral blood smear. Immunohistochemical stains demonstrate the lymphocytes to be of Z. The most likely diagnosis is",acute lymphocytic leukemia,acute myelogenous leukemia,chronic lymphocytic leukemia,chronic myelogenous leukemia,C
"X = 27-year-old nulligravid woman
Y = 2-day history of moderate-to-severe pain and swelling of the left labia
Z = 4 x 3-cm, tender, fluctuant mass medial to the left labium majus compromising the introital opening

An X comes to the emergency department because of a Y. She is sexually active and uses condoms inconsistently. Her temperature is 37.2°C (99°F), pulse is 92/min, respirations are 18/min, and blood pressure is 115/75 mm Hg. Pelvic examination shows a Z. Which of the following is the most appropriate next step in management?",Administration of intravenous metronidazole,Administration of intravenous penicillin G,Ultrasound-guided needle aspiration of the mass,Incision and drainage,D
"X = 24-year-old woman
Y = 6-month

A previously healthy X who is a college student comes to the office because of a Y history of abdominal bloating, upper abdominal discomfort, and constipation. The symptoms are more severe when she is preparing for examinations but improve after bowel movements. She takes no medications. She does not smoke or use illicit drugs. She drinks alcoholic beverages occasionally. She is 160 cm (5 ft 3 in) tall and weighs 57 kg (125 lb); BMI is 22 kg/m2 . Her pulse is 72/min, and blood pressure is 100/72 mm Hg. Physical examination, including digital rectal examination, shows no other abnormalities. A complete blood count and serum electrolyte concentrations are within the reference ranges. A urease breath test result is",Azathioprine,Infliximab,Lubiprostone,Mesalamine,C
"X = urticaria
Y = 22-year-old woman

A Y comes to the office because of X. This is her first episode of X and it has occurred and then resolved several times in the past week. The history and physical examination disclose no abnormalities. Which of the following is the most appropriate course of action?",Determine the serum IgE concentration,Determine the total eosinophil count,Refer her to an allergist,Treat the symptoms,D
"X = 72-year-old man
Y = 7-month
Z = leg weakness and dry eyes and mouth

A X comes to the physician because of a Y history of Z. He also has had a 10.4-kg (23-lb) weight loss over the past 4 months despite no change in appetite. He has smoked one and a half packs of cigarettes daily for 50 years. He drinks 4 oz of alcohol daily. He has peptic ulcer disease and emphysema. Medications include cimetidine, theophylline, and low-dose prednisone. Examination shows mild ptosis. He has a barrelshaped chest. Breath sounds are distant. There is moderate weakness of proximal muscles of the lower extremities. Reflexes are absent. He has difficulty rising from a chair. Sensory examination shows no abnormalities. An x-",Muscle membrane,Parasympathetic nervous system,Peripheral nerve,Presynaptic neuromuscular junction,D
"X = chronic recurrent otitis media
Y = tympanic membrane

A 4-year-old boy is brought for a follow-up examination. He has a history of X and recently completed a 10-day course of antibiotics. His vital signs are within normal limits. Examination shows clear ear canals and intact Ys; a brown, irregular mass is visualized behind the Y. Which of the following is the most likely explanation for these findings?",Epithelial tissue proliferation,Lingual papillae loss,Middle ear effusion,Midface hypoplasia,A
"X = HIV
Y = extramarital sexual partners

A 35-year-old male presents to the office for the result of an X test, and he is informed that the result is positive. The patient resists disclosure to his wife because he has not told her about his Y. The physician informs the patient that his wife's right to know is paramount because she could also be X positive. Which of the following relationships best describes the rationale for the physician's recommendation that the patient inform his wife of his condition rather than withhold this information?",autonomy overrides beneficence,autonomy overrides justice,beneficence overrides autonomy,nonmaleficence overrides autonomy,D
